Date|Price
Apr 26, 2019|1,281.45
Apr 25, 2019|1,280.65
Apr 24, 2019|1,275.50
Apr 23, 2019|1,269.30
Apr 22, 2019|1,276.55
Apr 21, 2019|1,278.85
Apr 19, 2019|1,277.90
Apr 18, 2019|1,271.90
Apr 17, 2019|1,272.20
Apr 16, 2019|1,272.60
Apr 15, 2019|1,286.80
Apr 12, 2019|1,290.60
Apr 11, 2019|1,288.60
Apr 10, 2019|1,309.10
Apr 09, 2019|1,303.50
Apr 08, 2019|1,297.10
Apr 05, 2019|1,290.40
Apr 04, 2019|1,289.00
Apr 03, 2019|1,289.90
Apr 02, 2019|1,290.00
Apr 01, 2019|1,288.40
Mar 29, 2019|1,293.00
Mar 28, 2019|1,289.80
Mar 27, 2019|1,310.40
Mar 26, 2019|1,315.00
