Date|Price
Apr 26, 2019|14.938
Apr 25, 2019|14.912
Apr 24, 2019|14.916
Apr 23, 2019|14.791
Apr 22, 2019|14.975
Apr 21, 2019|14.982
Apr 19, 2019|14.965
Apr 18, 2019|14.955
Apr 17, 2019|14.939
Apr 16, 2019|14.915
Apr 15, 2019|14.975
Apr 14, 2019|14.918
Apr 12, 2019|14.963
Apr 11, 2019|14.867
Apr 10, 2019|15.244
Apr 09, 2019|15.211
Apr 08, 2019|15.216
Apr 07, 2019|15.088
Apr 05, 2019|15.086
Apr 04, 2019|15.084
Apr 03, 2019|15.102
Apr 02, 2019|15.061
Apr 01, 2019|15.099
Mar 31, 2019|15.113
Mar 29, 2019|15.110
Mar 28, 2019|14.973
Mar 27, 2019|15.298
Mar 26, 2019|15.429
